iter	TotalF1	MultiClass
0	0.6635550383	1.622130841
1	0.6655864543	1.50750154
2	0.669389876	1.403234098
3	0.6736350508	1.31728408
4	0.712193755	1.23512303
5	0.7146444259	1.174339729
6	0.7024977285	1.118849475
7	0.7026325805	1.07322956
8	0.7345793516	1.007320257
9	0.742846074	0.9533585573
10	0.7428325938	0.9039763441
11	0.7417694939	0.865000544
12	0.7438879672	0.8284358383
13	0.7433193406	0.8040416501
14	0.7443494665	0.7783289538
15	0.743606369	0.7555024967
16	0.7454332036	0.7256165696
17	0.753469188	0.6998586637
18	0.7454308007	0.6840053744
19	0.7454756293	0.66512548
20	0.7498218297	0.6429954444
21	0.7675179174	0.6271390257
22	0.7666308155	0.610145574
23	0.7656445568	0.5925040976
24	0.7662807624	0.5753471593
25	0.7675569337	0.5634730853
26	0.7676712917	0.5562662325
27	0.7693712232	0.5436037668
28	0.7705359049	0.5343701174
29	0.7716718318	0.5255560738
30	0.760363249	0.5160457866
31	0.7604423286	0.5056568714
32	0.7611114316	0.4979578322
33	0.7618810406	0.4883219125
34	0.7623577913	0.4818406093
35	0.762058339	0.4767829376
36	0.7687162934	0.4661675979
37	0.7686885102	0.4609873198
38	0.7686230738	0.4549919524
39	0.7729762615	0.4465824816
40	0.7720124723	0.440160829
41	0.7717936986	0.4352716974
42	0.7722919371	0.4283032606
43	0.7739554679	0.4241366779
44	0.7752041095	0.4181842488
45	0.7756391671	0.4147145641
46	0.7762454002	0.4104846492
47	0.7771272364	0.4070647975
48	0.7814780899	0.4020316534
49	0.7808359058	0.3991905137
50	0.7822592123	0.3948779766
51	0.7827652283	0.3918191903
52	0.7828636888	0.3893810507
53	0.7826303479	0.3843628989
54	0.7834377474	0.3822904665
55	0.7922840456	0.3789803525
56	0.7918303576	0.3752817376
57	0.7928266008	0.3717716342
58	0.7954165891	0.3690350965
59	0.7969323271	0.3650541557
60	0.7969323271	0.3650516829
61	0.7975760318	0.3628678013
62	0.7977148098	0.3603962759
63	0.7980266501	0.3575555599
64	0.7979279757	0.3555042283
65	0.800209842	0.3529466385
66	0.8002064071	0.351380919
67	0.7997167051	0.3489962305
68	0.7992547634	0.3488934253
69	0.8038392754	0.346369104
70	0.8034949881	0.3449728468
71	0.804481617	0.3433940738
72	0.8047517918	0.3403478977
73	0.8043732103	0.3375683856
74	0.8043732103	0.3371839561
75	0.8057963906	0.3357737423
76	0.8057963906	0.3347447537
77	0.8051636503	0.3321336716
78	0.8033191741	0.3306996579
79	0.8036736332	0.3295583453
80	0.8054516351	0.3278191601
81	0.8102815491	0.3265861919
82	0.8102815491	0.326583613
83	0.8103167494	0.3257007959
84	0.8105944254	0.324230324
85	0.8108605878	0.3227214635
86	0.8107713442	0.3226079581
87	0.8138669653	0.3211214262
88	0.8136050091	0.3198695978
89	0.8138669653	0.319021525
90	0.8134901317	0.3170342017
91	0.8138669653	0.316122222
92	0.8164606682	0.3148206717
93	0.8148103052	0.3129181603
94	0.8155251928	0.3117502878
95	0.8155237447	0.3114663806
96	0.814918842	0.3101376281
97	0.8153832293	0.3091690455
98	0.8180658773	0.3076563318
99	0.8195402328	0.3061649061
100	0.819531058	0.3057733305
101	0.8205071975	0.3048280858
102	0.8204987311	0.303958618
103	0.8208300466	0.3029429041
104	0.8208300466	0.3028404686
105	0.821935452	0.3017468911
106	0.8222994504	0.3011404879
107	0.8222990025	0.3007773489
108	0.8226662696	0.3006839391
109	0.8226662696	0.3006813665
110	0.8233284949	0.2999415739
111	0.8233284949	0.2998459709
112	0.8246494019	0.2983897439
113	0.8255576533	0.2977433381
114	0.8253683917	0.2963052978
115	0.8253683917	0.2957531618
116	0.8259785947	0.2951175968
117	0.8259785947	0.2950465372
118	0.8259785947	0.2942359874
119	0.826707637	0.2934727909
120	0.8267636556	0.2928489575
121	0.8267180553	0.2917828089
122	0.827081852	0.2914414702
123	0.8286315525	0.2909531693
124	0.8282661458	0.2903437528
125	0.8298684797	0.2896815779
126	0.8289297609	0.2887605893
127	0.8298292793	0.2880656062
128	0.8301860561	0.2877472997
129	0.8298923617	0.2862784608
130	0.8299327903	0.2854012278
131	0.8305442179	0.2836357574
132	0.8314181219	0.2831466115
133	0.8322835055	0.2825315299
134	0.8342349739	0.2816273449
135	0.8340350645	0.2815721086
136	0.8340350645	0.2813738983
137	0.8340350645	0.2808358124
138	0.834450481	0.2802529653
139	0.8339429569	0.2801776622
140	0.8339429569	0.2801374505
141	0.8339429569	0.2799330037
142	0.8339429569	0.2797552548
143	0.8357221779	0.2791952373
144	0.8361486439	0.2785920402
145	0.8361486439	0.2785635848
146	0.8370061167	0.2779559959
147	0.8416404646	0.2767342746
148	0.8419464665	0.2764782555
149	0.8425687886	0.2758431614
150	0.8430439641	0.274220978
151	0.8430544254	0.2738438821
152	0.8451250355	0.2729401802
153	0.8452077088	0.2725336585
154	0.8452055391	0.2707426824
155	0.8452430284	0.2701357721
156	0.8453679696	0.2696729292
157	0.8469035058	0.2692285085
158	0.8476059885	0.2689516176
159	0.8478368011	0.2685885988
160	0.8482170668	0.268377897
161	0.8482803592	0.267033048
162	0.847647917	0.2668009373
163	0.847647917	0.2666766603
164	0.847647917	0.2666754281
165	0.8470834226	0.2660894854
166	0.8470834226	0.2660764394
167	0.8478066564	0.2653176058
168	0.8478066564	0.2653011946
169	0.8478066564	0.2652370675
170	0.8478066564	0.2649343306
171	0.8481031136	0.264712277
172	0.8483324411	0.2645004462
173	0.8484061615	0.2628041166
174	0.8491246541	0.26235782
175	0.8494610054	0.2614852866
176	0.8497543298	0.2608887556
177	0.8503270317	0.2598022875
178	0.8500284674	0.2583508864
179	0.8504044092	0.2575462403
180	0.8503941922	0.2564582619
181	0.851317709	0.2550174892
182	0.8513606467	0.2542447788
183	0.8515652441	0.2535362301
184	0.8509880895	0.2531392914
185	0.8519358478	0.2518616678
186	0.850662143	0.2509692479
187	0.8509416333	0.2498441559
188	0.8530070605	0.2495480642
189	0.8532937811	0.2488520163
190	0.8564460831	0.2483813953
191	0.8573676424	0.2473710049
192	0.8613889466	0.246855901
193	0.8603227988	0.2464164426
194	0.8608762692	0.245763132
195	0.8609827709	0.2453816729
196	0.8612997548	0.2445374494
197	0.8624355391	0.2436240641
198	0.8634811456	0.2429062872
199	0.8638445904	0.2421769547
200	0.8649404295	0.2414917496
201	0.8680718966	0.2406200807
202	0.8672545373	0.2402044955
203	0.8680384428	0.2399129899
204	0.8707671059	0.2394198043
205	0.8722984269	0.2382060612
206	0.8737574098	0.23783939
207	0.8736829463	0.2370445204
208	0.8748270025	0.2361881712
209	0.8763450835	0.2356214239
210	0.8776901921	0.2347965361
211	0.8787483844	0.2338072467
212	0.8798441342	0.2332219341
213	0.879753553	0.2321770305
214	0.8794562624	0.2318622647
215	0.8808431937	0.230973476
216	0.8853683803	0.2304345217
217	0.8846087421	0.2297740675
218	0.8856092297	0.229042103
219	0.8885532819	0.2286004276
220	0.8879511603	0.2282463085
221	0.8907635881	0.2274258565
222	0.8893446107	0.2266947921
223	0.8917794457	0.226154331
224	0.894300665	0.225373174
225	0.8967700267	0.2246899678
226	0.8969419051	0.2242416676
227	0.8989902568	0.2235601314
228	0.8973089478	0.22293511
229	0.8981852414	0.2224247465
230	0.8977842518	0.2218151218
231	0.8988248999	0.2212170268
232	0.8999552025	0.2206049743
233	0.9006879874	0.2200826798
234	0.9005132553	0.2194868089
235	0.9019996679	0.2189181993
236	0.9041174382	0.2182807223
237	0.9045170468	0.2178352478
238	0.9055880703	0.2175456448
239	0.9058514077	0.2168406258
240	0.9071098371	0.2161393549
241	0.9068966783	0.2156909303
242	0.9066664655	0.2153051382
243	0.9078161564	0.2150040001
244	0.9082750806	0.2145417919
245	0.909345467	0.2141870808
246	0.9094200551	0.2139217688
247	0.9091913247	0.2135036892
248	0.9097128474	0.213333311
249	0.9097810201	0.2130927303
250	0.9109833664	0.2128089367
251	0.9096861619	0.2125032976
252	0.9106591782	0.2121966413
253	0.9146108312	0.2115375156
254	0.9166938956	0.2112033455
255	0.9177099164	0.2108517237
256	0.9180334578	0.2105804997
257	0.9185376616	0.2101818236
258	0.9171786357	0.2099431081
259	0.9157709156	0.2096629966
260	0.9158289494	0.2094299775
261	0.9166428922	0.2088891344
262	0.9166428922	0.2086055729
263	0.9145665008	0.2080896561
264	0.9149851461	0.2077779792
