iter	Passed	Remaining
0	1910	1144655
1	3202	957400
2	3701	736571
3	4381	652808
4	5628	669806
5	5977	591729
6	7276	616383
7	7610	563212
8	8931	586499
9	9406	554977
10	10479	561113
11	11716	574120
12	12817	578747
13	13837	579178
14	15170	591668
15	16222	592126
16	17184	589314
17	18307	591929
18	19247	588571
19	20193	585624
20	21044	580230
21	21934	576282
22	22932	575307
23	23657	567775
24	24548	564604
25	25403	560822
26	26236	556801
27	27078	553166
28	27846	548281
29	28669	544724
30	29526	541956
31	30395	539514
32	31191	535924
33	32056	533645
34	32893	530993
35	33739	528580
36	34695	527929
37	35599	526497
38	36367	523137
39	37231	521237
40	38177	520511
41	39041	518697
42	39783	515336
43	40691	514187
44	41532	512229
45	42431	511028
46	43184	508109
47	43997	505976
48	44602	501552
49	45300	498303
50	45976	494923
51	46828	493497
52	47755	492874
53	48491	490299
54	49370	489212
55	50150	487179
56	50756	483525
57	51472	480997
58	52456	480998
59	53274	479466
60	53947	476682
61	54672	474416
62	55413	472332
63	56125	470052
64	56734	466967
65	57661	466533
66	58383	464457
67	59276	463750
68	60069	462276
69	60793	460290
70	61744	460042
71	62619	459212
72	63324	457149
73	64121	455783
74	64992	454944
75	65875	454194
76	66797	453704
77	67591	452345
78	68479	451615
79	69168	449598
80	70108	449211
81	71120	449271
82	72113	449186
83	73041	448681
84	73965	448143
85	74876	447515
86	75733	446563
87	76775	446693
88	77802	446711
89	78685	445886
90	79529	444842
91	80400	443948
92	81138	442336
93	82090	441891
94	82983	441121
95	84046	441242
96	84841	439948
97	85584	438400
98	86391	437192
99	87260	436300
100	87679	433186
101	88647	432808
102	89665	432656
103	90631	432240
104	91478	431256
105	92400	430619
106	93335	430042
107	93784	427240
108	94814	427101
109	95741	426485
110	96719	426086
111	97604	425276
112	97726	421175
113	98724	420879
114	99707	420503
115	100722	420257
116	101550	419221
117	102286	417813
118	103240	417301
119	104104	416418
120	105154	416273
121	105988	415267
122	106941	414726
123	107917	414262
124	108509	412336
125	109353	411379
126	110268	410686
127	111259	410270
128	112342	410180
129	113399	409981
130	114329	409316
131	115399	409143
132	116293	408338
133	117142	407377
134	117957	406298
135	119009	406032
136	119993	405524
137	120811	404456
138	121704	403639
139	122597	402818
140	123413	401749
141	124334	401023
142	125096	399784
143	126066	399209
144	127128	398921
145	128028	398115
146	128911	397259
147	129754	396277
148	130817	395963
149	131669	395009
150	132510	394019
151	133358	393055
152	134411	392691
153	135260	391728
154	136209	391052
155	137281	390723
156	138143	389793
157	139192	389386
158	140158	388740
159	141092	388005
160	142064	387368
161	142931	386443
162	143889	385764
163	144829	385034
164	145670	384039
165	146494	383002
166	147480	382389
167	148326	381411
168	149271	380685
169	149997	379406
170	150898	378569
171	151928	378055
172	153027	377702
173	154050	377159
174	155103	376680
175	156110	376084
176	157156	375577
177	158260	375202
178	159219	374478
179	160064	373483
180	161032	372777
181	161969	371996
182	162910	371221
183	163842	370426
184	164716	369500
185	165708	368835
186	166594	367932
187	167460	366987
188	168208	365786
189	169163	365036
190	169932	363887
191	170809	362969
192	171697	362077
193	172636	361290
194	173480	360306
195	174212	359091
196	175097	358195
197	175913	357157
198	176680	356025
199	177572	355144
200	178558	354450
201	179391	353453
202	180299	352605
203	181229	351798
204	182210	351088
205	183190	350374
