community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:4XPgmz5KV+pK4HjGDFn0SocFBLc=,RSTO,0.0028290748596191406,ShR,143.88.1.18,54112,143.88.2.20,445,false,false,0,0,336,8,tcp,0,176,4,,1.710897921712162E9,CVB7Vs14sBBYCOOaH3,2024-03-20T01:25:21.712Z,Exfiltration,T1048,True,none
1:HWm6bAQn/KbLAlXQ2JPMOMt7fsM=,RSTO,11.721280097961426,ShADTdtTatTtR,143.88.1.18,40815,143.88.2.20,445,false,false,0,26577,118212,212,tcp,4578,30872,240,"ntlm,smb,gssapi",1.71098499349748E9,CHLUYk31fpytN62Mq6,2024-03-21T01:36:33.497Z,Exfiltration,T1048,True,none
1:3kx/mctypXAkMsxjD02z74YwbVs=,RSTO,0.6783709526062012,ShADTFadtR,143.88.1.18,35231,143.88.2.20,445,false,false,0,73,1316,20,tcp,174,1352,12,gssapi,1.710678632220274E9,CkpXEV1JcncnuKpkuj,2024-03-17T12:30:32.220Z,Exfiltration,T1048,True,none
1:11KulrDU0FOrNdzWqPu/v6UJJRM=,RSTR,5.514830827713013,ShADTadtTtTtFr,143.88.1.18,40097,143.88.2.20,445,false,false,0,15279,71008,184,tcp,4666,28888,196,"smb,dce_rpc,ntlm,gssapi",1.71116286293878E9,Ca3CTc1qYqfiBZSfWd,2024-03-23T03:01:02.938Z,Exfiltration,T1048,True,none
1:xBGCP9j2IlfReGPQvXbJAyveasI=,RSTR,9.710774898529053,ShADTadtTtTtFr,143.88.1.18,33359,143.88.2.20,445,false,false,0,15595,72480,188,tcp,4774,29528,200,"gssapi,dce_rpc,ntlm,smb",1.711203638672964E9,CEcfMg1LcCzK4DHcQ1,2024-03-23T14:20:38.672Z,Exfiltration,T1048,True,none
1:30+kR+HUKrkPxGOZU+rE9eCfDyU=,RSTO,16.602003812789917,ShADTadtTtTtFR,143.88.1.18,42623,143.88.2.20,445,false,false,0,14885,70440,188,tcp,4278,33048,304,"smb,dce_rpc,ntlm,gssapi",1.710753820912166E9,CRn6kT1ym0qRdgFNM,2024-03-18T09:23:40.912Z,Exfiltration,T1048,True,none
1:s1mM/DwG6kkbspBO6TYnJhutkzc=,RSTO,0.6749591827392578,ShADTFadtR,143.88.1.18,41601,143.88.2.20,445,false,false,0,73,1316,20,tcp,174,1352,12,gssapi,1.710742189710435E9,Cgxf6E3TkYPnN7DYy5,2024-03-18T06:09:49.710Z,Exfiltration,T1048,True,none
1:fTttNz87V7LnGhVxZ424NELjiYA=,RSTR,10.768580913543701,ShADTadtTtTtFr,143.88.1.18,37743,143.88.2.20,445,false,false,0,15271,72656,200,tcp,4695,29468,204,"gssapi,smb,ntlm,dce_rpc",1.710962388913314E9,C9teXdIyz70ZOoh5d,2024-03-20T19:19:48.913Z,Exfiltration,T1048,True,none
1:yA76K8Jy1KXRRPuflxR9m0TW7HE=,RSTO,0.7040131092071533,ShADTaFdtR,143.88.1.18,41593,143.88.2.20,445,false,false,0,73,1316,20,tcp,174,1560,16,gssapi,1.710657188315357E9,Cq6V5UBrSFfLzgrk6,2024-03-17T06:33:08.315Z,Exfiltration,T1048,True,none
1:E2xN7+amQMe4XqXk396kVKckrDQ=,RSTO,4.0630950927734375,ShADTadtTtR,143.88.1.18,46625,143.88.2.20,445,false,false,0,6249,30536,84,tcp,1806,11720,84,"ntlm,smb,gssapi",1.710984961079216E9,CZNFzZ3ICcIPPlnbd2,2024-03-21T01:36:01.079Z,Exfiltration,T1048,True,none
1:1YRLYlt/HacGhPGli+1f9ySmbyg=,RSTO,0.8002240657806396,ShADTFadtR,143.88.1.18,40945,143.88.2.20,445,false,false,0,73,1316,20,tcp,174,1352,12,gssapi,1.710650058277123E9,Cw4AVoxDrS7D0bjv9,2024-03-17T04:34:18.277Z,Exfiltration,T1048,True,none
